Timestamp,Voltage,Current,PowerFactor,Frequency,Power
10:32:00,231.67,4.38,0.941,50.00,954.2
10:32:01,231.54,4.40,0.938,49.99,955.2
10:32:02,231.40,4.39,0.937,50.00,950.9
10:32:03,231.83,4.36,0.938,50.00,948.9
10:32:04,231.85,4.44,0.941,50.01,969.6
10:32:05,231.94,4.45,0.943,50.01,972.0
10:32:06,231.86,4.39,0.943,49.99,959.5
10:32:07,231.56,4.42,0.940,50.00,962.4
10:32:08,231.42,4.40,0.944,50.01,961.6
10:32:09,231.39,4.44,0.946,49.99,972.6
10:32:10,231.49,4.36,0.943,50.01,952.2
10:32:11,231.36,4.46,0.942,50.00,971.7
10:32:12,231.68,4.36,0.941,49.99,951.1
10:32:13,231.37,4.49,0.945,50.02,981.4
10:32:14,231.83,4.47,0.938,50.00,971.4
10:32:15,231.87,4.46,0.944,50.00,976.4
10:32:16,231.56,4.45,0.948,50.01,977.5
10:32:17,232.14,4.47,0.940,50.00,976.2
10:32:18,232.06,4.42,0.942,50.01,965.6
10:32:19,231.48,4.40,0.948,50.01,966.4
10:32:20,231.71,4.49,0.943,50.02,980.2
10:32:21,232.08,4.55,0.944,50.02,996.6
10:32:22,231.71,4.54,0.947,50.00,996.2
10:32:23,231.44,4.48,0.941,50.03,977.1
10:32:24,232.04,4.49,0.947,50.01,986.1
10:32:25,231.62,4.49,0.944,50.02,980.8
10:32:26,232.01,4.53,0.947,50.02,996.3
10:32:27,231.64,4.51,0.947,50.02,989.3
10:32:28,231.79,4.58,0.946,50.01,1003.4
10:32:29,231.40,4.59,0.943,50.01,1002.3
10:32:30,232.03,4.55,0.948,50.03,1001.4
10:32:31,232.13,4.62,0.944,50.01,1013.2
10:32:32,232.12,4.49,0.943,50.03,981.8
10:32:33,231.68,4.59,0.946,50.02,1005.2
10:32:34,231.91,4.57,0.949,50.02,1006.6
10:32:35,231.49,4.58,0.945,50.02,1001.6
10:32:36,231.59,4.51,0.946,50.03,987.6
10:32:37,232.07,4.52,0.950,50.02,997.9
10:32:38,231.43,4.56,0.947,50.02,999.0
10:32:39,232.10,4.61,0.951,50.02,1018.4
10:32:40,231.67,4.59,0.943,50.02,1002.5
10:32:41,231.39,4.67,0.948,50.02,1023.5
10:32:42,231.68,4.63,0.944,50.04,1011.4
10:32:43,231.88,4.65,0.950,50.03,1024.2
10:32:44,232.03,4.68,0.952,50.02,1034.4
10:32:45,231.71,4.56,0.951,50.03,1005.2
10:32:46,231.51,4.65,0.945,50.04,1017.1
10:32:47,231.46,4.68,0.954,50.02,1033.3
10:32:48,231.66,4.64,0.954,50.03,1025.1
10:32:49,231.72,4.60,0.950,50.02,1012.2
10:32:50,231.95,4.64,0.946,50.02,1019.4
10:32:51,232.01,4.61,0.953,50.05,1019.2
10:32:52,231.23,4.67,0.953,50.02,1029.7
10:32:53,231.60,4.66,0.947,50.04,1022.0
10:32:54,231.67,4.63,0.955,50.03,1024.9
10:32:55,231.73,4.66,0.955,50.03,1032.1
10:32:56,231.69,4.68,0.950,50.03,1029.5
10:32:57,231.86,4.61,0.949,50.04,1013.8
10:32:58,231.58,4.67,0.949,50.04,1025.4
10:32:59,231.59,4.75,0.947,50.04,1041.3
10:33:00,231.72,4.69,0.955,50.05,1038.7
10:33:01,231.23,4.75,0.953,50.03,1047.3
10:33:02,231.14,4.70,0.953,50.03,1035.6
10:33:03,231.14,4.77,0.952,50.05,1049.8
10:33:04,231.74,4.70,0.952,50.03,1037.7
10:33:05,231.56,4.67,0.955,50.05,1031.9
10:33:06,231.46,4.70,0.955,50.05,1038.9
10:33:07,231.55,4.74,0.954,50.03,1046.5
10:33:08,231.07,4.68,0.958,50.04,1036.5
10:33:09,231.10,4.78,0.951,50.05,1050.8
10:33:10,231.03,4.73,0.952,50.03,1039.9
10:33:11,231.33,4.71,0.956,50.06,1042.9
10:33:12,231.47,4.79,0.956,50.04,1058.9
10:33:13,231.10,4.77,0.958,50.06,1055.7
10:33:14,231.21,4.66,0.949,50.05,1023.0
10:33:15,231.63,4.77,0.959,50.06,1059.0
10:33:16,231.48,4.71,0.957,50.06,1043.1
10:33:17,231.45,4.66,0.953,50.05,1029.0
10:33:18,230.94,4.72,0.953,50.04,1038.5
10:33:19,231.40,4.79,0.956,50.03,1059.8
10:33:20,231.22,4.70,0.958,50.05,1040.1
10:33:21,230.88,4.71,0.954,50.05,1036.9
10:33:22,231.22,4.68,0.953,50.04,1031.2
10:33:23,231.32,4.68,0.955,50.04,1033.3
10:33:24,231.34,4.78,0.957,50.06,1058.4
10:33:25,231.47,4.75,0.956,50.05,1051.3
10:33:26,231.48,4.70,0.952,50.05,1036.7
10:33:27,230.95,4.81,0.952,50.06,1058.4
10:33:28,231.49,4.68,0.956,50.06,1035.7
10:33:29,231.38,4.68,0.959,50.05,1038.6
10:33:30,231.17,4.78,0.956,50.06,1056.4
10:33:31,231.33,4.73,0.955,50.04,1044.7
10:33:32,231.24,4.78,0.953,50.06,1052.9
10:33:33,230.79,4.73,0.955,50.04,1043.1
10:33:34,230.96,4.79,0.956,50.05,1056.7
10:33:35,231.21,4.79,0.952,50.05,1053.2
10:33:36,231.37,4.75,0.956,50.06,1050.4
10:33:37,231.35,4.69,0.953,50.05,1033.8
10:33:38,231.48,4.81,0.952,50.05,1059.4
10:33:39,230.82,4.71,0.961,50.06,1043.7
10:33:40,231.03,4.68,0.955,50.06,1032.9
10:33:41,230.73,4.76,0.961,50.04,1054.2
10:33:42,231.31,4.75,0.957,50.06,1051.6
10:33:43,231.21,4.73,0.956,50.05,1046.0
10:33:44,231.05,4.72,0.955,50.05,1040.6
10:33:45,231.34,4.78,0.961,50.07,1062.2
10:33:46,230.86,4.74,0.955,50.06,1044.5
10:33:47,231.47,4.67,0.961,50.07,1039.4
10:33:48,230.86,4.67,0.959,50.07,1034.4
10:33:49,231.04,4.68,0.959,50.06,1035.6
10:33:50,231.07,4.72,0.956,50.05,1043.0
10:33:51,231.16,4.79,0.959,50.05,1062.1
10:33:52,230.91,4.74,0.959,50.06,1050.0
10:33:53,231.05,4.70,0.962,50.05,1045.1
10:33:54,231.49,4.73,0.961,50.07,1052.2
10:33:55,231.12,4.69,0.962,50.06,1041.5
10:33:56,231.44,4.77,0.961,50.05,1062.3
10:33:57,231.06,4.79,0.958,50.06,1061.2
10:33:58,231.24,4.69,0.958,50.06,1038.9
10:33:59,231.33,4.72,0.955,50.05,1041.5
10:34:00,230.89,4.67,0.955,50.05,1030.4
10:34:01,231.20,4.65,0.954,50.05,1026.4
10:34:02,231.10,4.70,0.955,50.07,1036.2
10:34:03,231.21,4.77,0.954,50.05,1052.1
10:34:04,230.83,4.76,0.960,50.07,1055.1
10:34:05,230.97,4.75,0.954,50.06,1045.9
10:34:06,231.30,4.68,0.960,50.06,1040.3
10:34:07,231.41,4.74,0.959,50.05,1051.9
10:34:08,231.36,4.71,0.954,50.06,1040.5
10:34:09,230.83,4.65,0.954,50.06,1024.3
10:34:10,231.06,4.63,0.958,50.07,1024.6
10:34:11,231.36,4.69,0.962,50.07,1043.6
10:34:12,231.50,4.64,0.962,50.06,1032.1
10:34:13,231.50,4.66,0.960,50.07,1034.9
10:34:14,231.06,4.67,0.960,50.07,1036.9
10:34:15,231.53,4.59,0.962,50.06,1022.5
10:34:16,231.23,4.71,0.958,50.06,1042.3
10:34:17,231.17,4.68,0.963,50.06,1043.1
10:34:18,231.58,4.58,0.957,50.05,1014.7
10:34:19,231.07,4.71,0.963,50.05,1048.3
10:34:20,231.05,4.65,0.956,50.06,1028.5
10:34:21,231.20,4.69,0.961,50.05,1041.4
10:34:22,231.65,4.63,0.958,50.07,1026.9
10:34:23,231.43,4.57,0.962,50.07,1018.1
10:34:24,231.58,4.57,0.958,50.05,1012.6
10:34:25,231.57,4.59,0.959,50.05,1018.3
10:34:26,231.51,4.68,0.956,50.07,1035.4
10:34:27,231.18,4.68,0.955,50.06,1033.4
10:34:28,231.69,4.59,0.963,50.07,1023.2
10:34:29,231.99,4.58,0.956,50.06,1014.9
10:34:30,231.73,4.55,0.963,50.07,1014.4
10:34:31,232.01,4.55,0.961,50.06,1015.2
10:34:32,231.54,4.56,0.963,50.06,1017.8
10:34:33,231.35,4.56,0.962,50.07,1015.2
10:34:34,231.50,4.54,0.961,50.07,1010.2
10:34:35,232.00,4.50,0.955,50.06,996.5
10:34:36,231.41,4.58,0.963,50.06,1020.7
10:34:37,231.97,4.53,0.962,50.07,1010.8
10:34:38,232.18,4.49,0.959,50.06,999.2
10:34:39,231.80,4.58,0.964,50.04,1023.9
10:34:40,231.58,4.47,0.963,50.07,996.1
10:34:41,231.57,4.59,0.955,50.07,1015.4
10:34:42,231.82,4.57,0.961,50.06,1019.0
10:34:43,231.94,4.45,0.956,50.07,985.4
10:34:44,231.80,4.52,0.956,50.05,1001.3
10:34:45,231.73,4.48,0.955,50.05,991.9
10:34:46,231.97,4.43,0.957,50.05,982.3
10:34:47,231.75,4.51,0.958,50.07,1001.2
10:34:48,232.26,4.54,0.961,50.05,1012.3
10:34:49,232.40,4.43,0.956,50.06,985.0
10:34:50,232.38,4.51,0.964,50.05,1009.4
