Timestamp,Voltage,Current,Power,Energy
14:10:00,13.81,3.48,48.09,0.013
14:10:01,13.80,3.56,49.17,0.027
14:10:02,13.81,3.53,48.77,0.041
14:10:03,13.82,3.57,49.35,0.054
14:10:04,13.82,3.52,48.68,0.068
14:10:05,13.80,3.54,48.79,0.081
14:10:06,13.81,3.58,49.38,0.095
14:10:07,13.84,3.60,49.83,0.109
14:10:08,13.80,3.56,49.20,0.123
14:10:09,13.83,3.58,49.49,0.136
14:10:10,13.79,3.54,48.77,0.150
14:10:11,13.86,3.55,49.22,0.164
14:10:12,13.81,3.56,49.21,0.177
14:10:13,13.87,3.60,49.91,0.191
14:10:14,13.85,3.57,49.47,0.205
14:10:15,13.84,3.56,49.30,0.219
14:10:16,13.81,3.64,50.25,0.232
14:10:17,13.81,3.59,49.56,0.246
14:10:18,13.83,3.59,49.61,0.260
14:10:19,13.88,3.70,51.33,0.274
14:10:20,13.83,3.61,49.91,0.288
14:10:21,13.87,3.64,50.51,0.302
14:10:22,13.89,3.64,50.52,0.316
14:10:23,13.85,3.62,50.15,0.330
14:10:24,13.86,3.74,51.90,0.345
14:10:25,13.85,3.72,51.47,0.359
14:10:26,13.87,3.69,51.12,0.373
14:10:27,13.89,3.66,50.91,0.387
14:10:28,13.86,3.73,51.71,0.402
14:10:29,13.89,3.66,50.87,0.416
14:10:30,13.90,3.74,52.02,0.430
14:10:31,13.90,3.71,51.51,0.444
14:10:32,13.87,3.77,52.25,0.459
14:10:33,13.87,3.76,52.22,0.473
14:10:34,13.91,3.70,51.49,0.488
14:10:35,13.88,3.79,52.59,0.502
14:10:36,13.87,3.77,52.35,0.517
14:10:37,13.91,3.78,52.57,0.532
14:10:38,13.90,3.78,52.60,0.546
14:10:39,13.92,3.82,53.11,0.561
14:10:40,13.93,3.74,52.06,0.575
14:10:41,13.88,3.83,53.12,0.590
14:10:42,13.88,3.78,52.52,0.605
14:10:43,13.92,3.75,52.17,0.619
14:10:44,13.91,3.85,53.58,0.634
14:10:45,13.94,3.76,52.45,0.649
14:10:46,13.93,3.83,53.35,0.663
14:10:47,13.92,3.85,53.55,0.678
14:10:48,13.91,3.88,53.99,0.693
14:10:49,13.91,3.88,53.97,0.708
14:10:50,13.95,3.79,52.90,0.723
14:10:51,13.90,3.79,52.68,0.738
14:10:52,13.96,3.87,54.09,0.753
14:10:53,13.95,3.86,53.83,0.768
14:10:54,13.90,3.80,52.75,0.782
14:10:55,13.96,3.80,53.07,0.797
14:10:56,13.97,3.86,53.84,0.812
14:10:57,13.94,3.90,54.30,0.827
14:10:58,13.96,3.86,53.85,0.842
14:10:59,13.98,3.84,53.62,0.857
14:11:00,13.93,3.90,54.36,0.872
14:11:01,13.96,3.83,53.40,0.887
14:11:02,13.99,3.85,53.82,0.902
14:11:03,13.97,3.84,53.67,0.917
14:11:04,13.95,3.83,53.38,0.932
14:11:05,13.98,3.93,55.01,0.947
14:11:06,14.00,3.88,54.31,0.962
14:11:07,13.93,3.86,53.77,0.977
14:11:08,13.95,3.90,54.43,0.992
14:11:09,13.98,3.92,54.76,1.007
14:11:10,13.95,3.94,55.03,1.022
14:11:11,14.00,3.85,53.93,1.037
14:11:12,13.97,3.88,54.29,1.053
14:11:13,14.01,3.90,54.70,1.068
14:11:14,13.99,3.84,53.72,1.083
14:11:15,13.94,3.85,53.64,1.098
14:11:16,14.02,3.85,53.93,1.113
14:11:17,13.96,3.95,55.16,1.128
14:11:18,13.97,3.94,55.00,1.143
14:11:19,13.97,3.91,54.67,1.158
14:11:20,13.95,3.85,53.64,1.173
14:11:21,13.99,3.92,54.82,1.188
14:11:22,13.98,3.93,54.95,1.204
14:11:23,14.02,3.93,55.07,1.219
14:11:24,13.95,3.93,54.88,1.234
14:11:25,14.02,3.86,54.15,1.249
14:11:26,14.00,3.94,55.17,1.265
14:11:27,13.95,3.86,53.83,1.280
14:11:28,14.01,3.95,55.29,1.295
14:11:29,13.99,3.87,54.11,1.310
14:11:30,13.99,3.89,54.40,1.325
14:11:31,13.98,3.88,54.27,1.340
14:11:32,13.97,3.85,53.74,1.355
14:11:33,14.02,3.88,54.43,1.370
14:11:34,14.01,3.83,53.66,1.385
14:11:35,13.96,3.90,54.39,1.400
14:11:36,13.96,3.87,54.05,1.415
14:11:37,14.03,3.82,53.64,1.430
